,n_train,smooth,depth,width,lr,best_epoch,R2,MSE
208,32.0,0.001,2.0,4.0,0.001,0.0,-1533.6947021484375,5161.48779296875
209,32.0,0.001,2.0,4.0,0.01,0.0,-1533.6947021484375,5161.48779296875
210,32.0,0.001,2.0,16.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
211,32.0,0.001,2.0,16.0,0.001,3702.0,-10.87514877319336,39.93851852416992
212,32.0,0.001,2.0,16.0,0.01,0.0,-1533.6947021484375,5161.48779296875
213,32.0,0.001,2.0,32.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
214,32.0,0.001,2.0,32.0,0.001,189.0,-0.22985243797302246,4.136241912841797
215,32.0,0.001,2.0,32.0,0.01,0.0,-1533.6947021484375,5161.48779296875
216,32.0,0.001,3.0,3.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
217,32.0,0.001,3.0,3.0,0.001,0.0,-1533.6947021484375,5161.48779296875
218,32.0,0.001,3.0,3.0,0.01,6012.0,0.9652045369148254,0.11702419817447662
219,32.0,0.001,3.0,4.0,0.0001,920.0,-122.19644165039062,414.33447265625
220,32.0,0.001,3.0,4.0,0.001,41.0,-115.53280639648438,391.9233093261719
221,32.0,0.001,3.0,4.0,0.01,0.0,-1533.6947021484375,5161.48779296875
222,32.0,0.001,3.0,16.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
223,32.0,0.001,3.0,16.0,0.001,0.0,-1533.6947021484375,5161.48779296875
224,32.0,0.001,3.0,16.0,0.01,121.0,0.27562665939331055,2.436213493347168
225,32.0,0.001,3.0,32.0,0.0001,54.0,-133.68359375,452.96807861328125
226,32.0,0.001,3.0,32.0,0.001,0.0,-1533.6947021484375,5161.48779296875
227,32.0,0.001,3.0,32.0,0.01,0.0,-1533.6947021484375,5161.48779296875
228,32.0,0.001,4.0,3.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
229,32.0,0.001,4.0,3.0,0.001,75.0,-85.89945220947266,292.2603759765625
230,32.0,0.001,4.0,3.0,0.01,643.0,0.9252270460128784,0.2514764964580536
231,32.0,0.001,4.0,4.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
232,32.0,0.001,4.0,4.0,0.001,0.0,-1533.6947021484375,5161.48779296875
233,32.0,0.001,4.0,4.0,0.01,65.0,-0.04464614391326904,3.5133554935455322
234,32.0,0.001,4.0,16.0,0.0001,228.0,-113.26891326904297,384.30938720703125
235,32.0,0.001,4.0,16.0,0.001,0.0,-1533.6947021484375,5161.48779296875
236,32.0,0.001,4.0,16.0,0.01,0.0,-1533.6947021484375,5161.48779296875
237,32.0,0.001,4.0,32.0,0.0001,118.0,-102.2496337890625,347.24932861328125
238,32.0,0.001,4.0,32.0,0.001,934.0,-8.20553970336914,30.960084915161133
239,32.0,0.001,4.0,32.0,0.01,0.0,-1533.6947021484375,5161.48779296875
240,32.0,0.01,1.0,3.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
241,32.0,0.01,1.0,3.0,0.001,70.0,-160.47036743164062,543.057373046875
242,32.0,0.01,1.0,3.0,0.01,396.0,0.9056800007820129,0.31721723079681396
243,32.0,0.01,1.0,4.0,0.0001,896.0,-72.2312240600586,246.2913818359375
244,32.0,0.01,1.0,4.0,0.001,0.0,-1533.6947021484375,5161.48779296875
245,32.0,0.01,1.0,4.0,0.01,0.0,-1533.6947021484375,5161.48779296875
246,32.0,0.01,1.0,16.0,0.0001,470.0,-139.85501098632812,473.7237854003906
247,32.0,0.01,1.0,16.0,0.001,473.0,-1.3631219863891602,7.94765567779541
248,32.0,0.01,1.0,16.0,0.01,147.0,0.6218743920326233,1.2717126607894897
249,32.0,0.01,1.0,32.0,0.0001,1829.0,-0.556389331817627,5.234450817108154
250,32.0,0.01,1.0,32.0,0.001,497.0,0.10535496473312378,3.008871555328369
251,32.0,0.01,1.0,32.0,0.01,259.0,0.8395226001739502,0.5397177934646606
252,32.0,0.01,2.0,3.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
253,32.0,0.01,2.0,3.0,0.001,0.0,-1533.6947021484375,5161.48779296875
254,32.0,0.01,2.0,3.0,0.01,0.0,-1533.6947021484375,5161.48779296875
255,32.0,0.01,2.0,4.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
256,32.0,0.01,2.0,4.0,0.001,0.0,-1533.6947021484375,5161.48779296875
257,32.0,0.01,2.0,4.0,0.01,660.0,0.4744996428489685,1.7673635482788086
258,32.0,0.01,2.0,16.0,0.0001,331.0,-96.39375305175781,327.5548095703125
259,32.0,0.01,2.0,16.0,0.001,632.0,-9.772082328796387,36.22868347167969
260,32.0,0.01,2.0,16.0,0.01,0.0,-1533.6947021484375,5161.48779296875
261,32.0,0.01,2.0,32.0,0.0001,7502.0,-1.3550620079040527,7.920548439025879
262,32.0,0.01,2.0,32.0,0.001,2290.0,-7.316178321838379,27.968984603881836
263,32.0,0.01,2.0,32.0,0.01,210.0,-1.749427080154419,9.246877670288086
264,32.0,0.01,3.0,3.0,0.0001,2810.0,-100.03460693359375,339.79974365234375
265,32.0,0.01,3.0,3.0,0.001,33024.0,-1.3398184776306152,7.86928129196167
266,32.0,0.01,3.0,3.0,0.01,0.0,-1533.6947021484375,5161.48779296875
267,32.0,0.01,3.0,4.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
268,32.0,0.01,3.0,4.0,0.001,0.0,-1533.6947021484375,5161.48779296875
